# u_lambda  v_lambda  Re(V)[Jy]  Im(V)[Jy]  weight
-1.261457770399028050e+04 2.147887665456275136e+04 1.698941662067430386e-02 -8.229729826989393062e-04 6.326322265625000000e+04
4.254281165542955569e+04 3.955559833609324869e+03 1.559210864742269567e-02 1.034960550995750217e-04 6.040333203125000000e+04
1.727913124525055173e+04 1.993696168480452252e+04 1.641079171165581510e-02 -5.726393149114761315e-04 6.440738867187500000e+04
-4.277547052018239810e+03 7.252435815073283447e+04 1.216271134384208120e-02 -1.840104737055249474e-03 5.559921875000000000e+04
8.426590917270723367e+03 4.535265158887990401e+04 1.405935253777786456e-02 -1.269457780878617071e-03 5.651571875000000000e+04
3.065879339122448437e+04 3.735844018624068121e+04 1.405037082133825735e-02 -9.280372487111086116e-04 6.281026171875000000e+04
-1.354231030045104126e+04 -3.991051220923107758e+04 1.443242030095675914e-02 1.115231398356433508e-03 5.763047070312500000e+04
-2.646440679797296980e+04 -2.932615196350192855e+04 1.491736143918026905e-02 7.605965424872201779e-04 6.504201562500000000e+04
-9.808700556887970379e+03 -5.140917419890828751e+04 1.351788330192662570e-02 1.383419711428040275e-03 6.857812890625000000e+04
-5.665467038934504671e+03 -2.671172004976145217e+03 2.011260940534491740e-02 7.063431570193561047e-05 6.207936132812500000e+04
-1.940421889506322623e+04 -1.646890405541650762e+04 1.666902477550162923e-02 4.507414073472480547e-04 6.444287890625000000e+04
-3.277182436503725330e+04 -3.714224694232118782e+04 1.398102914916215904e-02 9.069506613283117831e-04 6.035566015625000000e+04
5.982888540023161994e+01 1.538093093892827528e+04 1.801424568717598790e-02 -5.677983097253454150e-04 4.870101953125000000e+04
-8.831931347715015363e+03 -4.238546821165699657e+04 1.432165273755023858e-02 1.203340720710503872e-03 6.377251757812500000e+04
-2.776962818967465864e+04 3.752877159510986530e+03 1.724755987515244615e-02 -2.987339720075389386e-04 6.530209570312500000e+04
8.731527983923204772e+01 -4.743695878689766687e+03 2.027211068174234257e-02 1.977500215120429699e-04 6.361694140625000000e+04
-2.081732114612398072e+04 -2.725537247636989196e+04 1.540086387993110095e-02 7.499314084390512570e-04 6.336881445312500000e+04
5.183607436057600353e+03 -2.714940562935897469e+04 1.627400352141853551e-02 9.359863715031806284e-04 6.533182617187500000e+04
-7.886490466364660278e+03 -3.539948062053835747e+04 1.504025770643352064e-02 1.052010340796659046e-03 6.950850781250000000e+04
-6.079320688462918042e+04 -5.476223563726391149e+04 1.192828300264415532e-02 1.090718921036314126e-03 6.432704687500000000e+04
-1.669132713101797344e+04 -2.079452014415136364e+04 1.634542561702757510e-02 6.024640876974452636e-04 5.880215625000000000e+04
-3.607998979645162035e+04 -1.748312091060713647e+04 1.532939425986588368e-02 3.577452449942591711e-04 6.435512304687500000e+04
-5.837155430801870352e+03 2.204650090632157116e+03 2.035000612539299841e-02 -1.331446459752512067e-04 6.488292968750000000e+04
-4.198535826254865242e+04 -1.273129791974915861e+04 1.521206621091017279e-02 1.756338794590472983e-04 5.755548437500000000e+04
-2.453563177238961089e+03 -3.013607025210560823e+04 1.577699717111944941e-02 9.624227231547874579e-04 6.651252734375000000e+04
-2.928587039240559534e+04 -4.342248143044980679e+03 1.682546176768428062e-02 -2.102870185628312320e-05 6.109073242187500000e+04
-2.546324358207485784e+04 -3.599202187923723977e+04 1.437275807685398261e-02 9.348942400306794933e-04 6.490997656250000000e+04
-1.088412480512037655e+04 -2.145338573557777272e+04 1.659378355808483960e-02 6.675145997274997776e-04 6.753044140625000000e+04
-1.546080478924557065e+04 -5.172369913412079768e+03 1.838345179048458261e-02 9.640229325620910061e-05 5.753581250000000000e+04
2.181437370101170472e+03 -1.521836390534647398e+04 1.808840565558672564e-02 5.781682360577437710e-04 6.303796484375000000e+04
