# u_lambda  v_lambda  Re(V)[Jy]  Im(V)[Jy]  weight
-1.428396205855139306e+04 2.812201185004664512e+04 1.570932773478816297e-02 -9.700983069192447607e-04 6.217740625000000000e+04
1.596042257863823761e+04 4.780808283932869381e+04 1.386959613563847754e-02 -1.251509943692411149e-03 6.265791796875000000e+04
-2.019346022310071930e+04 3.287760429630365979e+04 1.506522931826975720e-02 -1.107690666773802120e-03 5.558056445312500000e+04
1.933641343157868687e+04 1.547358178037229482e+04 1.693281680980980933e-02 -4.046771251033062290e-04 6.405485937500000000e+04
-7.495026382976702735e+03 4.126753607368665689e+04 1.439318124325464007e-02 -1.234097285357355338e-03 5.905580078125000000e+04
-3.668281757682457737e+03 9.613743645664033465e+03 1.920135413124731544e-02 -3.962856758383969833e-04 6.263422460937500000e+04
1.091198303280299479e+04 2.415120882889084169e+04 1.603573927485534359e-02 -7.125910472739597525e-04 6.525423828125000000e+04
6.334603377823129449e+03 4.043306037361096242e+04 1.437471973032761544e-02 -1.134398976222830441e-03 5.559286914062500000e+04
2.397447788108803798e+04 3.038863874864312311e+04 1.484714975842674894e-02 -7.741687398790035417e-04 6.077181054687500000e+04
-1.312079297263265289e+03 4.134148768703371024e+04 1.436743652237009068e-02 -1.201003365345712634e-03 5.909025390625000000e+04
-1.734125416953383683e+04 4.499395044424037042e+04 1.413674384338228784e-02 -1.370465453013964630e-03 6.315162304687500000e+04
9.821833230102616653e+03 6.695647786856471794e+04 1.331740679985111628e-02 -1.750028106899646730e-03 6.006437304687500000e+04
-1.269187529858922244e+04 4.244026710372239177e+04 1.430966534668106499e-02 -1.288521097170688317e-03 6.275849804687500000e+04
-4.294512876747206610e+04 6.939683352227369323e+04 1.323514381408940135e-02 -2.068530990659301835e-03 5.811983984375000000e+04
2.036547691252244840e+04 2.603186049827765601e+04 1.541280911033038152e-02 -6.892572067728714802e-04 5.973216601562500000e+04
-1.283090855710514916e+03 3.564040681788222719e+04 1.484310005776481173e-02 -1.069859461935522863e-03 5.895091796875000000e+04
-1.038909505158750289e+04 1.716882414971766411e+04 1.760738247270278792e-02 -6.741492215620509048e-04 5.555909960937500000e+04
-7.305555464680580371e+03 2.195675362766739272e+04 1.675500832534871851e-02 -7.835874599960903492e-04 6.318552929687500000e+04
2.299365094364495599e+04 2.173824361623307777e+04 1.580441307001558340e-02 -5.550966465310087829e-04 6.588559765625000000e+04
-1.261457770399028050e+04 2.147887665456275136e+04 1.676240752595463748e-02 -8.007618334562010675e-04 6.326322265625000000e+04
4.254281165542955569e+04 3.955559833609324869e+03 1.592462180653827011e-02 1.237974388343925244e-04 6.040333203125000000e+04
1.727913124525055173e+04 1.993696168480452252e+04 1.637727416328977822e-02 -5.505764937422958499e-04 6.440738867187500000e+04
-4.277547052018239810e+03 7.252435815073283447e+04 1.322439054927812205e-02 -1.958553393102447325e-03 5.559921875000000000e+04
8.426590917270723367e+03 4.535265158887990401e+04 1.405057454207034318e-02 -1.237490046085824554e-03 5.651571875000000000e+04
3.065879339122448437e+04 3.735844018624068121e+04 1.419537037150808700e-02 -9.041307537704286208e-04 6.281026171875000000e+04
-1.354231030045104126e+04 -3.991051220923107758e+04 1.432646633423768218e-02 1.077136707780180190e-03 5.763047070312500000e+04
-2.646440679797296980e+04 -2.932615196350192855e+04 1.485979940631896278e-02 7.293868582860350705e-04 6.504201562500000000e+04
-9.808700556887970379e+03 -5.140917419890828751e+04 1.376107357695861670e-02 1.373539225150765880e-03 6.857812890625000000e+04
-5.665467038934504671e+03 -2.671172004976145217e+03 1.992981479372842729e-02 6.508176602631861253e-05 6.207936132812500000e+04
-1.940421889506322623e+04 -1.646890405541650762e+04 1.677276663403941270e-02 4.339344792846822779e-04 6.444287890625000000e+04
-3.277182436503725330e+04 -3.714224694232118782e+04 1.416592202304932380e-02 8.849930453017619504e-04 6.035566015625000000e+04
5.982888540023161994e+01 1.538093093892827528e+04 1.802153560139204899e-02 -5.557010760310152758e-04 4.870101953125000000e+04
-8.831931347715015363e+03 -4.238546821165699657e+04 1.421980373408320529e-02 1.165018606605167876e-03 6.377251757812500000e+04
